trial,condition,receiver,time_s,sequence_offset,rssi_dbm
empty_01,empty,RX01,22.317555,1114,-50
empty_01,empty,RX01,22.342404,1115,-50
empty_01,empty,RX01,22.35754,1116,-50
empty_01,empty,RX01,22.377539,1117,-50
empty_01,empty,RX01,22.401222,1118,-50
empty_01,empty,RX01,22.417547,1119,-50
empty_01,empty,RX01,22.460888,1121,-49
empty_01,empty,RX01,22.480417,1122,-50
empty_01,empty,RX01,22.508699,1123,-49
empty_01,empty,RX01,22.519502,1124,-49
empty_01,empty,RX01,22.542211,1125,-49
empty_01,empty,RX01,22.561375,1126,-49
empty_01,empty,RX01,22.579928,1127,-50
empty_01,empty,RX01,22.597549,1128,-49
empty_01,empty,RX01,22.618746,1129,-49
empty_01,empty,RX01,22.63937,1130,-49
empty_01,empty,RX01,22.65774,1131,-49
empty_01,empty,RX01,22.682959,1132,-50
